set,metric,value,n_pairs,pct,cum_pct
confirmed_or,wl_dist,0,0,0.00,0.00
confirmed_or,wl_dist,1,2,0.38,0.38
confirmed_or,wl_dist,2,1,0.19,0.58
confirmed_or,wl_dist,3,8,1.54,2.11
confirmed_or,wl_dist,4,18,3.45,5.57
confirmed_or,wl_dist,5,13,2.50,8.06
confirmed_or,wl_dist,6,28,5.37,13.44
confirmed_or,wl_dist,7,32,6.14,19.58
confirmed_or,wl_dist,8,40,7.68,27.26
confirmed_or,wl_dist,9,55,10.56,37.81
confirmed_or,wl_dist,10,53,10.17,47.98
confirmed_or,wl_dist,11,53,10.17,58.16
confirmed_or,wl_dist,12,57,10.94,69.10
confirmed_or,wl_dist,13,46,8.83,77.93
confirmed_or,wl_dist,14,29,5.57,83.49
confirmed_or,wl_dist,15,31,5.95,89.44
confirmed_or,wl_dist,16,18,3.45,92.90
confirmed_or,wl_dist,17,10,1.92,94.82
confirmed_or,wl_dist,18,7,1.34,96.16
confirmed_or,wl_dist,19,4,0.77,96.93
confirmed_or,wl_dist,20,5,0.96,97.89
confirmed_or,wl_dist,>20,11,2.11,100.00
confirmed_or,wl_dist_content,0,0,0.00,0.00
confirmed_or,wl_dist_content,1,2,0.38,0.38
confirmed_or,wl_dist_content,2,3,0.58,0.96
confirmed_or,wl_dist_content,3,23,4.41,5.37
confirmed_or,wl_dist_content,4,44,8.45,13.82
confirmed_or,wl_dist_content,5,68,13.05,26.87
confirmed_or,wl_dist_content,6,76,14.59,41.46
confirmed_or,wl_dist_content,7,86,16.51,57.97
confirmed_or,wl_dist_content,8,70,13.44,71.40
confirmed_or,wl_dist_content,9,59,11.32,82.73
confirmed_or,wl_dist_content,10,47,9.02,91.75
confirmed_or,wl_dist_content,11,19,3.65,95.39
confirmed_or,wl_dist_content,12,9,1.73,97.12
confirmed_or,wl_dist_content,13,6,1.15,98.27
confirmed_or,wl_dist_content,14,3,0.58,98.85
confirmed_or,wl_dist_content,15,2,0.38,99.23
confirmed_or,wl_dist_content,16,0,0.00,99.23
confirmed_or,wl_dist_content,17,0,0.00,99.23
confirmed_or,wl_dist_content,18,0,0.00,99.23
confirmed_or,wl_dist_content,19,1,0.19,99.42
confirmed_or,wl_dist_content,20,0,0.00,99.42
confirmed_or,wl_dist_content,>20,3,0.58,100.00
comparison,wl_dist,0,3,0.06,0.06
comparison,wl_dist,1,29,0.60,0.66
comparison,wl_dist,2,87,1.79,2.45
comparison,wl_dist,3,128,2.63,5.08
comparison,wl_dist,4,212,4.36,9.44
comparison,wl_dist,5,244,5.02,14.47
comparison,wl_dist,6,356,7.33,21.79
comparison,wl_dist,7,412,8.48,30.27
comparison,wl_dist,8,485,9.98,40.25
comparison,wl_dist,9,489,10.06,50.31
comparison,wl_dist,10,452,9.30,59.61
comparison,wl_dist,11,412,8.48,68.09
comparison,wl_dist,12,405,8.33,76.42
comparison,wl_dist,13,297,6.11,82.53
comparison,wl_dist,14,227,4.67,87.20
comparison,wl_dist,15,165,3.40,90.60
comparison,wl_dist,16,128,2.63,93.23
comparison,wl_dist,17,91,1.87,95.10
comparison,wl_dist,18,62,1.28,96.38
comparison,wl_dist,19,43,0.88,97.26
comparison,wl_dist,20,33,0.68,97.94
comparison,wl_dist,>20,100,2.06,100.00
comparison,wl_dist_content,0,3,0.06,0.06
comparison,wl_dist_content,1,58,1.19,1.26
comparison,wl_dist_content,2,179,3.68,4.94
comparison,wl_dist_content,3,368,7.57,12.51
comparison,wl_dist_content,4,566,11.65,24.16
comparison,wl_dist_content,5,790,16.26,40.41
comparison,wl_dist_content,6,798,16.42,56.83
comparison,wl_dist_content,7,679,13.97,70.80
comparison,wl_dist_content,8,556,11.44,82.24
comparison,wl_dist_content,9,376,7.74,89.98
comparison,wl_dist_content,10,217,4.47,94.44
comparison,wl_dist_content,11,111,2.28,96.73
comparison,wl_dist_content,12,60,1.23,97.96
comparison,wl_dist_content,13,38,0.78,98.74
comparison,wl_dist_content,14,9,0.19,98.93
comparison,wl_dist_content,15,7,0.14,99.07
comparison,wl_dist_content,16,5,0.10,99.18
comparison,wl_dist_content,17,9,0.19,99.36
comparison,wl_dist_content,18,3,0.06,99.42
comparison,wl_dist_content,19,6,0.12,99.55
comparison,wl_dist_content,20,3,0.06,99.61
comparison,wl_dist_content,>20,19,0.39,100.00
