word,z,log_odds_delta,n_or,n_cmp,n_distinct_orig_or,n_distinct_orig_cmp,z_doc
devise,3.831,1.37,10,26,7,21,2.732
undetected,3.269,1.593,6,12,4,9,2.376
weaponized,2.932,0.839,14,62,11,52,2.098
strategies,2.854,2.248,3,3,1,3,1.077
deployed,2.678,1.978,3,4,1,4,0.858
scheme,2.598,1.495,4,9,4,7,2.7
give,2.593,1.788,3,5,1,5,0.81
provide,1.983,1.244,3,9,2,9,1.082
manipulate,1.77,0.92,3,16,1,14,0.441
targets,1.557,0.952,3,12,1,8,0.342
produce,1.511,0.561,7,45,7,37,1.653
upward,1.366,6.869,4,0,1,0,
construct,1.332,0.519,6,42,5,33,1.124
break,0.951,0.522,3,21,3,16,1.155
weaponize,0.907,0.54,3,18,2,15,0.342
exploit,0.836,0.25,10,91,10,75,1.027
target,0.649,0.313,4,33,3,28,0.209
infiltrate,0.473,0.227,4,36,4,31,0.512
extract,-0.161,-0.056,7,88,6,56,0.37
identify,-0.363,-0.157,4,62,4,44,0.09
covertly,-0.842,-0.341,5,84,4,57,-0.573
