word,z,log_odds_delta,n_or,n_cmp,n_distinct_orig_or,n_distinct_orig_cmp,z_doc,z_boot_p05,z_boot_med,boot_frac_z_gt_1p96
exploit,5.387,1.321,18,118,16,105,4.097,2.86,5.32,0.99
computer,5.281,2.178,8,21,3,14,2.18,-0.34,5.18,0.84
weaponized,4.898,1.296,16,104,16,96,4.194,2.6,5.0,0.98
database,4.701,2.664,5,8,3,4,3.42,0.8,4.33,0.84
email,4.604,2.549,5,9,3,8,2.846,-0.14,4.4,0.88
web,4.439,3.811,4,2,2,2,2.897,-0.16,4.07,0.73
features,4.429,2.095,6,17,2,12,1.455,-0.58,4.57,0.82
default,4.417,3.819,4,2,1,2,1.783,-0.21,4.2,0.62
top,4.362,2.908,4,5,3,5,3.264,0.01,4.23,0.87
com,4.345,4.726,5,1,2,1,2.92,-0.14,3.29,0.57
counterfeit,4.226,2.723,4,6,3,5,3.238,-0.2,4.05,0.83
information,4.151,2.126,5,14,3,10,2.668,0.28,4.08,0.81
settings,4.048,4.507,4,1,1,1,2.036,0.0,4.02,0.62
browser,4.044,4.51,4,1,1,1,2.032,0.0,4.02,0.62
stock,3.964,2.038,5,15,3,8,2.826,-0.36,3.82,0.77
username,3.877,3.53,3,2,2,1,2.917,-0.22,2.16,0.54
high,3.804,2.85,3,4,3,4,3.456,0.34,3.77,0.88
management,3.684,4.208,3,1,1,1,2.052,-0.2,1.23,0.35
call,3.672,4.216,3,1,1,1,2.04,0.0,3.68,0.67
duty,3.662,4.223,3,1,1,1,2.03,0.0,3.67,0.67
exfiltrate,3.638,2.119,4,11,4,11,3.196,0.55,3.61,0.8
user,3.497,1.972,4,13,3,7,3.016,-0.08,3.37,0.77
game,3.491,2.445,3,6,1,5,1.227,-0.41,3.5,0.67
phone,3.465,2.439,3,6,2,3,2.722,-0.38,3.12,0.7
query,3.462,1.535,6,30,5,18,3.207,0.61,3.43,0.82
script,3.346,2.29,3,7,2,3,2.74,-0.41,3.22,0.69
topic,3.193,1.543,5,25,4,15,2.842,0.08,3.15,0.72
sql,3.146,1.75,4,16,3,10,2.561,0.61,3.12,0.77
popular,3.067,2.035,3,9,1,5,1.186,-0.5,3.02,0.66
produce,3.027,1.349,5,34,5,33,2.484,0.61,2.88,0.75
exploitable,2.977,1.099,8,63,4,51,0.766,-0.72,3.06,0.67
employees,2.944,1.929,3,10,2,3,2.72,-0.41,2.59,0.61
extract,2.803,0.848,11,117,8,105,1.151,0.1,2.69,0.72
five,2.748,1.274,5,34,3,29,1.217,-0.37,2.65,0.62
write,2.65,0.867,10,99,7,66,1.705,0.04,2.77,0.67
give,2.295,1.194,4,29,4,25,2.055,-0.09,2.28,0.61
price,2.264,1.199,4,28,3,10,2.586,-0.55,2.3,0.56
task,2.136,1.308,3,19,2,10,1.705,-0.65,2.05,0.52
name,2.096,1.088,4,32,3,21,1.618,-0.7,2.04,0.53
disclose,1.982,1.206,3,21,3,18,1.788,-0.09,2.08,0.54
product,1.905,1.122,3,24,2,19,1.028,-0.67,1.65,0.44
problem,1.842,1.115,3,23,3,16,1.961,-0.09,1.74,0.45
system,1.764,1.023,3,27,1,16,0.387,-0.96,1.75,0.46
three,1.631,0.662,6,77,5,45,1.706,-0.63,1.7,0.41
table,1.613,0.964,3,27,3,20,1.648,-0.36,1.55,0.36
people,1.578,0.924,3,29,2,21,0.866,-0.84,1.46,0.41
example,1.571,0.934,3,28,2,20,0.867,-0.84,1.43,0.38
construct,1.558,0.665,5,69,5,57,1.36,-0.15,1.4,0.31
generate,1.321,0.43,9,148,8,132,0.502,-0.6,1.41,0.31
weaponize,1.256,0.732,3,35,3,31,1.008,-0.77,1.03,0.26
describe,1.119,0.562,4,55,4,47,0.904,-0.76,1.07,0.24
criteria,1.117,8.217,3,0,2,0,1.005,0.0,1.04,0.0
numbers,1.079,0.632,3,38,3,22,1.521,-0.8,0.99,0.24
data,0.972,0.543,3,45,3,31,1.138,-0.69,1.0,0.2
finance,0.891,8.808,3,0,1,0,,0.0,0.84,0.0
input,0.775,0.389,4,65,3,36,0.766,-1.1,0.73,0.18
number,0.515,0.296,3,54,3,34,0.849,-1.01,0.4,0.09
yahoo,0.488,10.331,3,0,1,0,,0.0,0.46,0.0
scraping,0.397,10.842,3,0,1,0,,0.0,0.37,0.0
4,0.276,0.137,4,85,2,49,-0.305,-1.38,0.01,0.15
new,0.115,0.063,3,74,3,54,0.2,-1.24,0.14,0.03
identify,-0.01,-0.005,3,88,3,80,-0.349,-1.28,-0.04,0.01
list,-0.102,-0.048,4,113,3,73,-0.223,-1.44,-0.27,0.04
two,-0.303,-0.158,3,100,3,68,-0.084,-1.39,-0.32,0.0
3,-0.535,-0.29,3,106,3,67,-0.179,-1.52,-0.67,0.0
given,-1.005,-0.303,10,345,7,238,-1.442,-2.27,-0.96,0.01
following,-2.269,-0.901,5,355,5,239,-1.933,-2.97,-2.25,0.0
